abbr,fully_vaccinated,full_name,curr_pop,percent
AK,459197,Alaska,731158.0,62.8
AL,2522903,Alabama,4921532.0,51.26
AR,1654376,Arkansas,3030522.0,54.59
AZ,4519561,Arizona,7421401.0,60.9
CA,28712597,California,39368078.0,72.93
CO,4067979,Colorado,5807719.0,70.04
CT,2847479,Connecticut,3557006.0,80.05
DC,555354,District of Columbia,712816.0,77.91
DE,679476,Delaware,986809.0,68.86
FL,14479939,Florida,21733312.0,66.63
GA,5854801,Georgia,10710017.0,54.67
HI,1113675,Hawaii,1407006.0,79.15
IA,1964354,Iowa,3163561.0,62.09
ID,994685,Idaho,1826913.0,54.45
IL,8734216,Illinois,12587530.0,69.39
IN,3721549,Indiana,6754953.0,55.09
KS,1805045,Kansas,2913805.0,61.95
KY,2577536,Kentucky,4477251.0,57.57
LA,2499230,Louisiana,4645318.0,53.8
MA,5491363,Massachusetts,6893574.0,79.66
MD,4606028,Maryland,6055802.0,76.06
ME,1077778,Maine,1350141.0,79.83
MI,6041726,Michigan,9966555.0,60.62
MN,3921650,Minnesota,5657342.0,69.32
MO,3464210,Missouri,6151548.0,56.31
MS,1550869,Mississippi,2966786.0,52.27
MT,610468,Montana,1080577.0,56.49
NC,6514078,North Carolina,10600823.0,61.45
ND,425615,North Dakota,765309.0,55.61
NE,1234533,Nebraska,1937552.0,63.72
NH,967934,New Hampshire,1366275.0,70.84
NJ,6766749,New Jersey,8882371.0,76.18
NM,1503711,New Mexico,2106319.0,71.39
NV,1886711,Nevada,3138259.0,60.12
NY,15074279,New York,19336776.0,77.96
OH,6900750,Ohio,11693217.0,59.01
OK,2283592,Oklahoma,3980783.0,57.37
OR,2954469,Oregon,4241507.0,69.66
PA,8854855,Pennsylvania,12783254.0,69.27
PR,2664581,Puerto Rico,3159343.0,84.34
PW,18199,Rhode Island,1057125.0,1.72
RI,883315,South Carolina,5218040.0,16.93
SC,2957731,South Dakota,892717.0,331.32
SD,550010,Tennessee,6886834.0,7.99
TN,3744285,Texas,29360759.0,12.75
TX,17968966,Utah,3249879.0,552.91
UT,2069728,Virginia,8590563.0,24.09
VA,6295412,Vermont,623347.0,1009.94
VT,509853,Washington,7693612.0,6.63
WA,5556675,Wisconsin,5832655.0,95.27
WI,3838584,West Virginia,1784787.0,215.07
WV,1037750,Wyoming,582328.0,178.21
WY,296133,,,
