state,cases,deaths,day,month,year,POP2020,ppsm,sq_mi,case_fatality,incidence_rate
Alabama,1479605,20048,25,08,22,4921532,97.18,52420,1.355,30063.911
Alaska,297643,1297,25,08,22,731158,1.28,665384,0.436,40708.438
Arizona,2245713,31047,25,08,22,7421401,65.33,113990,1.383,30259.96
Arkansas,927072,11887,25,08,22,3030522,58.25,53179,1.282,30591.165
California,11022505,94750,25,08,22,39368078,252.74,163695,0.86,27998.586
Colorado,1630998,13337,25,08,22,5807719,56.04,104094,0.818,28083.28
Connecticut,871962,11195,25,08,22,3557006,734.92,5543,1.284,24513.931
Delaware,301597,3042,25,08,22,986809,506.32,2489,1.009,30562.855
District of Columbia,165667,1381,25,08,22,712816,11685.51,68,0.834,23241.201
Florida,6991770,79450,25,08,22,21733312,405.45,65758,1.136,32170.752
Georgia,2770967,38080,25,08,22,10710017,186.26,59425,1.374,25872.667
Hawaii,329351,1629,25,08,22,1407006,218.89,10932,0.495,23407.931
Idaho,487495,5103,25,08,22,1826913,22.11,83569,1.047,26684.084
Illinois,3672933,39265,25,08,22,12587530,226.73,57914,1.069,29179.14
Indiana,1882527,24378,25,08,22,6754953,188.56,36420,1.295,27868.839
Iowa,838125,9907,25,08,22,3163561,56.64,56273,1.182,26493.088
Kansas,859190,8966,25,08,22,2913805,35.64,82278,1.044,29486.874
Kentucky,1536310,16603,25,08,22,4477251,113.37,40408,1.081,34313.689
Louisiana,1420507,17833,25,08,22,4645318,107.53,52378,1.255,30579.327
Maine,281479,2507,25,08,22,1350141,43.78,35380,0.891,20848.119
Maryland,1217056,15145,25,08,22,6055802,623.99,12406,1.244,20097.355
Massachusetts,2005250,21390,25,08,22,6893574,883.68,10554,1.067,29088.685
Michigan,2751201,37909,25,08,22,9966555,176.31,96714,1.378,27604.333
Minnesota,1630819,13429,25,08,22,5657342,71.07,86936,0.823,28826.594
Mississippi,904905,12766,25,08,22,2966786,63.23,48432,1.411,30501.189
Missouri,1618910,21336,25,08,22,6151548,89.52,69707,1.318,26317.116
Montana,302783,3492,25,08,22,1080577,7.42,147040,1.153,28020.493
Nebraska,527506,4454,25,08,22,1937552,25.22,77348,0.844,27225.385
Nevada,839651,11375,25,08,22,3138259,28.59,110572,1.355,26755.312
New Hampshire,343377,2652,25,08,22,1366275,152.62,9349,0.772,25132.349
New Jersey,2664507,34512,25,08,22,8882371,1207.83,8723,1.295,29997.7
New Mexico,608632,8394,25,08,22,2106319,17.36,121590,1.379,28895.528
New York,5951183,70273,25,08,22,19336776,410.32,54555,1.181,30776.501
North Carolina,3098923,25853,25,08,22,10600823,218.04,53819,0.834,29232.853
North Dakota,263203,2377,25,08,22,765309,11.09,70698,0.903,34391.729
Ohio,3049546,39406,25,08,22,11693217,286.19,44826,1.292,26079.615
Oklahoma,1163366,14670,25,08,22,3980783,58.03,69899,1.261,29224.552
Oregon,874697,8373,25,08,22,4241507,44.19,98379,0.957,20622.317
Pennsylvania,3167638,46596,25,08,22,12783254,285.73,46054,1.471,24779.591
Puerto Rico,946400,4930,25,08,22,3159343,1022.36,5325,0.521,29955.595
Rhode Island,416638,3643,25,08,22,1057125,173.53,1545,0.874,39412.368
South Carolina,1661020,18245,25,08,22,5218040,11.78,32020,1.098,31832.259
South Dakota,256255,2984,25,08,22,892717,167.01,77116,1.164,28705.066
Tennessee,2223506,27095,25,08,22,6886834,112.4,42144,1.219,32286.331
Texas,7690700,90227,25,08,22,29360759,39.54,268596,1.173,26193.805
Utah,1027083,4968,25,08,22,3249879,67.63,84897,0.484,31603.73
Vermont,139769,707,25,08,22,623347,217.52,9616,0.506,22422.343
Virginia,2025685,21335,25,08,22,8590563,115.78,42775,1.053,23580.352
Washington,1776739,14019,25,08,22,7693612,74.25,71298,0.789,23093.691
West Virginia,577475,7261,25,08,22,1784787,107.7,24230,1.257,32355.402
Wisconsin,1824393,15034,25,08,22,5832655,6.0,65496,0.824,31278.946
Wyoming,174213,1877,25,08,22,582328,6.0,97813,1.077,29916.645
