date,state,cases,deaths,day,month,year,POP2020,abbr,full_name
2020-01-21,Washington,1,0,21,01,20,7693612,WA,Washington
2020-01-22,Washington,1,0,22,01,20,7693612,WA,Washington
2020-01-23,Washington,1,0,23,01,20,7693612,WA,Washington
2020-01-24,Washington,1,0,24,01,20,7693612,WA,Washington
2020-01-25,Washington,1,0,25,01,20,7693612,WA,Washington
2020-01-26,Washington,1,0,26,01,20,7693612,WA,Washington
2020-01-27,Washington,1,0,27,01,20,7693612,WA,Washington
2020-01-28,Washington,1,0,28,01,20,7693612,WA,Washington
2020-01-29,Washington,1,0,29,01,20,7693612,WA,Washington
2020-01-30,Washington,1,0,30,01,20,7693612,WA,Washington
2020-01-31,Washington,1,0,31,01,20,7693612,WA,Washington
2020-02-01,Washington,1,0,01,02,20,7693612,WA,Washington
2020-02-02,Washington,1,0,02,02,20,7693612,WA,Washington
2020-02-03,Washington,1,0,03,02,20,7693612,WA,Washington
2020-02-04,Washington,1,0,04,02,20,7693612,WA,Washington
2020-02-05,Washington,1,0,05,02,20,7693612,WA,Washington
2020-02-06,Washington,1,0,06,02,20,7693612,WA,Washington
2020-02-07,Washington,1,0,07,02,20,7693612,WA,Washington
2020-02-08,Washington,1,0,08,02,20,7693612,WA,Washington
2020-02-09,Washington,1,0,09,02,20,7693612,WA,Washington
2020-02-10,Washington,1,0,10,02,20,7693612,WA,Washington
2020-02-11,Washington,1,0,11,02,20,7693612,WA,Washington
2020-02-12,Washington,1,0,12,02,20,7693612,WA,Washington
2020-02-13,Washington,1,0,13,02,20,7693612,WA,Washington
2020-02-14,Washington,1,0,14,02,20,7693612,WA,Washington
2020-02-15,Washington,1,0,15,02,20,7693612,WA,Washington
2020-02-16,Washington,1,0,16,02,20,7693612,WA,Washington
2020-02-17,Washington,1,0,17,02,20,7693612,WA,Washington
2020-02-18,Washington,1,0,18,02,20,7693612,WA,Washington
2020-02-19,Washington,1,0,19,02,20,7693612,WA,Washington
2020-02-20,Washington,1,0,20,02,20,7693612,WA,Washington
2020-02-21,Washington,1,0,21,02,20,7693612,WA,Washington
2020-02-22,Washington,1,0,22,02,20,7693612,WA,Washington
2020-02-23,Washington,1,0,23,02,20,7693612,WA,Washington
2020-02-24,Washington,5,0,24,02,20,7693612,WA,Washington
2020-02-25,Washington,5,0,25,02,20,7693612,WA,Washington
2020-02-26,Washington,5,0,26,02,20,7693612,WA,Washington
2020-02-27,Washington,5,0,27,02,20,7693612,WA,Washington
2020-02-28,Washington,7,0,28,02,20,7693612,WA,Washington
2020-02-29,Washington,10,1,29,02,20,7693612,WA,Washington
2020-03-01,Washington,17,3,01,03,20,7693612,WA,Washington
2020-03-02,Washington,23,6,02,03,20,7693612,WA,Washington
2020-03-03,Washington,32,10,03,03,20,7693612,WA,Washington
2020-03-04,Washington,47,11,04,03,20,7693612,WA,Washington
2020-03-05,Washington,75,11,05,03,20,7693612,WA,Washington
2020-03-06,Washington,86,12,06,03,20,7693612,WA,Washington
2020-03-07,Washington,110,16,07,03,20,7693612,WA,Washington
2020-03-08,Washington,141,19,08,03,20,7693612,WA,Washington
2020-03-09,Washington,179,22,09,03,20,7693612,WA,Washington
2020-03-10,Washington,279,24,10,03,20,7693612,WA,Washington
2020-03-11,Washington,338,29,11,03,20,7693612,WA,Washington
2020-03-12,Washington,419,32,12,03,20,7693612,WA,Washington
2020-03-13,Washington,511,37,13,03,20,7693612,WA,Washington
2020-03-14,Washington,609,40,14,03,20,7693612,WA,Washington
2020-03-15,Washington,675,42,15,03,20,7693612,WA,Washington
2020-03-16,Washington,794,48,16,03,20,7693612,WA,Washington
2020-03-17,Washington,908,54,17,03,20,7693612,WA,Washington
2020-03-18,Washington,1026,68,18,03,20,7693612,WA,Washington
2020-03-19,Washington,1228,75,19,03,20,7693612,WA,Washington
2020-03-20,Washington,1404,83,20,03,20,7693612,WA,Washington
2020-03-21,Washington,1655,95,21,03,20,7693612,WA,Washington
2020-03-22,Washington,1844,97,22,03,20,7693612,WA,Washington
2020-03-23,Washington,2101,110,23,03,20,7693612,WA,Washington
2020-03-24,Washington,2469,123,24,03,20,7693612,WA,Washington
2020-03-25,Washington,2585,130,25,03,20,7693612,WA,Washington
2020-03-26,Washington,3208,152,26,03,20,7693612,WA,Washington
2020-03-27,Washington,3770,179,27,03,20,7693612,WA,Washington
2020-03-28,Washington,4311,193,28,03,20,7693612,WA,Washington
2020-03-29,Washington,4897,209,29,03,20,7693612,WA,Washington
2020-03-30,Washington,5180,221,30,03,20,7693612,WA,Washington
2020-03-31,Washington,5293,226,31,03,20,7693612,WA,Washington
2020-04-01,Washington,5589,250,01,04,20,7693612,WA,Washington
2020-04-02,Washington,6586,272,02,04,20,7693612,WA,Washington
2020-04-03,Washington,6967,293,03,04,20,7693612,WA,Washington
2020-04-04,Washington,7499,318,04,04,20,7693612,WA,Washington
2020-04-05,Washington,7985,344,05,04,20,7693612,WA,Washington
2020-04-06,Washington,8385,383,06,04,20,7693612,WA,Washington
2020-04-07,Washington,8683,409,07,04,20,7693612,WA,Washington
2020-04-08,Washington,9098,430,08,04,20,7693612,WA,Washington
2020-04-09,Washington,9609,456,09,04,20,7693612,WA,Washington
2020-04-10,Washington,9888,483,10,04,20,7693612,WA,Washington
2020-04-11,Washington,10227,498,11,04,20,7693612,WA,Washington
2020-04-12,Washington,10414,511,12,04,20,7693612,WA,Washington
2020-04-13,Washington,10547,525,13,04,20,7693612,WA,Washington
2020-04-14,Washington,10711,552,14,04,20,7693612,WA,Washington
2020-04-15,Washington,10806,572,15,04,20,7693612,WA,Washington
2020-04-16,Washington,11180,588,16,04,20,7693612,WA,Washington
2020-04-17,Washington,11479,610,17,04,20,7693612,WA,Washington
2020-04-18,Washington,11850,629,18,04,20,7693612,WA,Washington
2020-04-19,Washington,11864,637,19,04,20,7693612,WA,Washington
2020-04-20,Washington,12255,661,20,04,20,7693612,WA,Washington
2020-04-21,Washington,12410,683,21,04,20,7693612,WA,Washington
2020-04-22,Washington,12606,696,22,04,20,7693612,WA,Washington
2020-04-23,Washington,12981,717,23,04,20,7693612,WA,Washington
2020-04-24,Washington,13197,731,24,04,20,7693612,WA,Washington
2020-04-25,Washington,13565,743,25,04,20,7693612,WA,Washington
2020-04-26,Washington,13744,757,26,04,20,7693612,WA,Washington
2020-04-27,Washington,13958,771,27,04,20,7693612,WA,Washington
2020-04-28,Washington,14165,792,28,04,20,7693612,WA,Washington
2020-04-29,Washington,14490,805,29,04,20,7693612,WA,Washington
2020-04-30,Washington,14814,822,30,04,20,7693612,WA,Washington
2020-05-01,Washington,15134,829,01,05,20,7693612,WA,Washington
2020-05-02,Washington,15383,833,02,05,20,7693612,WA,Washington
2020-05-03,Washington,15943,840,03,05,20,7693612,WA,Washington
2020-05-04,Washington,16047,846,04,05,20,7693612,WA,Washington
2020-05-05,Washington,16234,863,05,05,20,7693612,WA,Washington
2020-05-06,Washington,16873,881,06,05,20,7693612,WA,Washington
2020-05-07,Washington,17187,903,07,05,20,7693612,WA,Washington
2020-05-08,Washington,17477,915,08,05,20,7693612,WA,Washington
2020-05-09,Washington,17629,925,09,05,20,7693612,WA,Washington
2020-05-10,Washington,17781,939,10,05,20,7693612,WA,Washington
2020-05-11,Washington,18172,957,11,05,20,7693612,WA,Washington
2020-05-12,Washington,18382,972,12,05,20,7693612,WA,Washington
2020-05-13,Washington,18492,977,13,05,20,7693612,WA,Washington
2020-05-14,Washington,18861,991,14,05,20,7693612,WA,Washington
2020-05-15,Washington,19131,1008,15,05,20,7693612,WA,Washington
2020-05-16,Washington,19336,1015,16,05,20,7693612,WA,Washington
2020-05-17,Washington,19514,1016,17,05,20,7693612,WA,Washington
2020-05-18,Washington,19756,1020,18,05,20,7693612,WA,Washington
2020-05-19,Washington,19988,1042,19,05,20,7693612,WA,Washington
2020-05-20,Washington,20110,1045,20,05,20,7693612,WA,Washington
2020-05-21,Washington,20280,1054,21,05,20,7693612,WA,Washington
2020-05-22,Washington,20526,1061,22,05,20,7693612,WA,Washington
2020-05-23,Washington,20740,1062,23,05,20,7693612,WA,Washington
2020-05-24,Washington,20989,1069,24,05,20,7693612,WA,Washington
2020-05-25,Washington,21265,1076,25,05,20,7693612,WA,Washington
2020-05-26,Washington,21538,1091,26,05,20,7693612,WA,Washington
2020-05-27,Washington,21825,1106,27,05,20,7693612,WA,Washington
2020-05-28,Washington,22091,1116,28,05,20,7693612,WA,Washington
2020-05-29,Washington,22377,1120,29,05,20,7693612,WA,Washington
2020-05-30,Washington,22618,1126,30,05,20,7693612,WA,Washington
2020-05-31,Washington,22814,1126,31,05,20,7693612,WA,Washington
2020-06-01,Washington,23272,1133,01,06,20,7693612,WA,Washington
2020-06-02,Washington,23608,1139,02,06,20,7693612,WA,Washington
2020-06-03,Washington,23776,1145,03,06,20,7693612,WA,Washington
2020-06-04,Washington,23999,1150,04,06,20,7693612,WA,Washington
2020-06-05,Washington,24546,1160,05,06,20,7693612,WA,Washington
2020-06-06,Washington,24767,1163,06,06,20,7693612,WA,Washington
2020-06-07,Washington,25064,1163,07,06,20,7693612,WA,Washington
2020-06-08,Washington,25593,1168,08,06,20,7693612,WA,Washington
2020-06-09,Washington,25796,1181,09,06,20,7693612,WA,Washington
2020-06-10,Washington,25940,1183,10,06,20,7693612,WA,Washington
2020-06-11,Washington,26172,1198,11,06,20,7693612,WA,Washington
2020-06-12,Washington,26576,1207,12,06,20,7693612,WA,Washington
2020-06-13,Washington,26920,1216,13,06,20,7693612,WA,Washington
2020-06-14,Washington,27135,1220,14,06,20,7693612,WA,Washington
2020-06-15,Washington,27577,1223,15,06,20,7693612,WA,Washington
2020-06-16,Washington,27949,1234,16,06,20,7693612,WA,Washington
2020-06-17,Washington,28270,1229,17,06,20,7693612,WA,Washington
2020-06-18,Washington,28663,1246,18,06,20,7693612,WA,Washington
2020-06-19,Washington,29045,1258,19,06,20,7693612,WA,Washington
2020-06-20,Washington,29466,1268,20,06,20,7693612,WA,Washington
2020-06-21,Washington,29797,1271,21,06,20,7693612,WA,Washington
2020-06-22,Washington,30443,1277,22,06,20,7693612,WA,Washington
2020-06-23,Washington,30778,1285,23,06,20,7693612,WA,Washington
2020-06-24,Washington,31400,1294,24,06,20,7693612,WA,Washington
2020-06-25,Washington,31998,1301,25,06,20,7693612,WA,Washington
2020-06-26,Washington,32489,1305,26,06,20,7693612,WA,Washington
2020-06-27,Washington,33031,1311,27,06,20,7693612,WA,Washington
2020-06-28,Washington,33341,1311,28,06,20,7693612,WA,Washington
2020-06-29,Washington,34036,1321,29,06,20,7693612,WA,Washington
2020-06-30,Washington,34541,1333,30,06,20,7693612,WA,Washington
2020-07-01,Washington,35258,1340,01,07,20,7693612,WA,Washington
2020-07-02,Washington,35921,1343,02,07,20,7693612,WA,Washington
2020-07-03,Washington,36417,1353,03,07,20,7693612,WA,Washington
2020-07-04,Washington,36799,1355,04,07,20,7693612,WA,Washington
2020-07-05,Washington,37468,1360,05,07,20,7693612,WA,Washington
2020-07-06,Washington,38517,1370,06,07,20,7693612,WA,Washington
